2020-09-07 19:49:50.837  INFO 15940 --- [http-nio-8081-exec-4] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:49:55.721  INFO 15940 --- [http-nio-8081-exec-1] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:49:55.721  INFO 15940 --- [http-nio-8081-exec-1] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:50:47.730  INFO 15940 --- [http-nio-8081-exec-2] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:50:47.730  INFO 15940 --- [http-nio-8081-exec-2] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:50:50.877  INFO 15940 --- [http-nio-8081-exec-8] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:50:50.878  INFO 15940 --- [http-nio-8081-exec-8] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:51:05.022  INFO 15940 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-07 19:51:51.315  INFO 15940 --- [Thread-8] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application DEPARTMENT-SERVICE with eureka with status DOWN
2020-09-07 19:51:51.316  WARN 15940 --- [Thread-8] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1599488511316, current=DOWN, previous=UP]
2020-09-07 19:51:51.317  INFO 15940 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_DEPARTMENT-SERVICE/LAPTOP-LIP6DHCR:department-service:8081: registering service...
2020-09-07 19:51:51.330  INFO 15940 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_DEPARTMENT-SERVICE/LAPTOP-LIP6DHCR:department-service:8081 - registration status: 204
2020-09-07 19:51:51.707  WARN 15940 --- [Thread-8] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-09-07 19:51:51.707  INFO 15940 --- [Thread-8] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-07 19:51:51.712  INFO 15940 --- [Thread-8] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2020-09-07 19:51:51.729  INFO 15940 --- [Thread-8] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-07 19:51:51.734  INFO 15940 --- [Thread-8] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2020-09-07 19:51:51.745  INFO 15940 --- [Thread-8] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2020-09-07 19:51:51.747  INFO 15940 --- [Thread-8] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2020-09-07 19:51:54.756  INFO 15940 --- [Thread-8] com.netflix.discovery.DiscoveryClient    : Unregistering ...
2020-09-07 19:51:54.785  INFO 15940 --- [Thread-8] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_DEPARTMENT-SERVICE/LAPTOP-LIP6DHCR:department-service:8081 - deregister  status: 200
2020-09-07 19:51:54.861  INFO 15940 --- [Thread-8] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
2020-09-07 19:51:56.200  INFO 15940 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
